,time,action,posX,posY,press,tilt,orient,calPosY,date
1999995,4820680,2,473.56152,669.6298,0.26715508,0.6713761,-2.152769,910.6298,2020-10-20
1999996,4820684,2,473.56152,665.6315,0.26837608,0.6713761,-2.152769,906.6315,2020-10-20
1999997,4820688,2,473.56152,661.6331,0.26959708,0.6713761,-2.152769,902.6331,2020-10-20
1999998,4820693,2,474.5606,657.6347,0.27081808,0.6713761,-2.152769,898.6347,2020-10-20
1999999,4820696,2,474.5606,653.63635,0.2720391,0.6713761,-2.152769,894.63635,2020-10-20
2000000,4820701,2,475.55966,650.6376,0.2732601,0.6713761,-2.152769,891.6376,2020-10-20
2000001,4820705,2,475.55966,647.6388,0.2744811,0.6713761,-2.152769,888.6388,2020-10-20
2000002,4820709,2,476.55875,644.64,0.2757021,0.6713761,-2.152769,885.64,2020-10-20
2000003,4820713,2,476.55875,642.6408,0.2769231,0.6713761,-2.152769,883.6408,2020-10-20
2000004,4820718,2,476.55875,640.6416,0.2781441,0.6857043,-2.140724,881.6416,2020-10-20
2000005,4820721,2,477.55783,638.64246,0.2793651,0.6857043,-2.140724,879.64246,2020-10-20
2000006,4820726,2,477.55783,637.6428,0.2805861,0.6857043,-2.140724,878.6428,2020-10-20
2000007,4820730,2,477.55783,635.6437,0.2818071,0.6857043,-2.140724,876.6437,2020-10-20
2000008,4820734,2,477.55783,634.64404,0.2830281,0.6857043,-2.140724,875.64404,2020-10-20
2000009,4820738,2,478.5569,633.6445,0.2842491,0.6857043,-2.140724,874.6445,2020-10-20
2000010,4820743,2,478.5569,632.6449,0.2854701,0.6857043,-2.140724,873.6449,2020-10-20
2000011,4820746,2,478.5569,631.64526,0.2866911,0.6857043,-2.140724,872.64526,2020-10-20
2000012,4820751,2,478.5569,631.64526,0.2879121,0.6776623,-2.1197248,872.64526,2020-10-20
2000013,4820755,2,478.5569,630.6457,0.2891331,0.6776623,-2.1197248,871.6457,2020-10-20
2000014,4820759,2,478.5569,630.6457,0.2903541,0.6776623,-2.1197248,871.6457,2020-10-20
2000015,4820763,2,478.5569,630.6457,0.2915751,0.6776623,-2.1197248,871.6457,2020-10-20
2000016,4820767,2,479.55597,629.6461,0.2927961,0.6776623,-2.1197248,870.6461,2020-10-20
2000017,4820772,2,479.55597,629.6461,0.2937729,0.6776623,-2.1197248,870.6461,2020-10-20
2000018,4820776,2,478.5569,629.6461,0.2945055,0.6776623,-2.1197248,870.6461,2020-10-20
2000019,4820784,2,478.5569,629.6461,0.2932845,0.6776623,-2.1197248,870.6461,2020-10-20
2000020,4820788,2,478.5569,629.6461,0.2903541,0.6776623,-2.1197248,870.6461,2020-10-20
2000021,4820792,2,478.5569,629.6461,0.2854701,0.6776623,-2.1197248,870.6461,2020-10-20
2000022,4820800,1,478.5569,629.6461,0.2781441,0.6776623,-2.1197248,870.6461,2020-10-20
2000023,4820921,0,460.57355,630.6457,0.12600733,0.61769676,-2.1112075,871.6457,2020-10-20
2000024,4820921,2,460.57355,630.6457,0.12600733,0.61769676,-2.1112075,871.6457,2020-10-20
2000025,4820926,2,460.57355,630.6457,0.12673993,0.61769676,-2.1112075,871.6457,2020-10-20
2000026,4820930,2,459.57446,630.6457,0.12820514,0.61769676,-2.1112075,871.6457,2020-10-20
2000027,4820934,2,459.57446,630.6457,0.13064714,0.61769676,-2.1112075,871.6457,2020-10-20
2000028,4820938,2,459.57446,630.6457,0.13089134,0.61769676,-2.1112075,871.6457,2020-10-20
2000029,4820942,2,459.57446,630.6457,0.13137974,0.6325177,-2.0987263,871.6457,2020-10-20
2000030,4820946,2,459.57446,630.6457,0.13235654,0.6325177,-2.0987263,871.6457,2020-10-20
2000031,4820951,2,458.5754,630.6457,0.13382174,0.6325177,-2.0987263,871.6457,2020-10-20
2000032,4820955,2,458.5754,630.6457,0.13577534,0.6325177,-2.0987263,871.6457,2020-10-20
2000033,4820959,2,458.5754,630.6457,0.13846155,0.6325177,-2.0987263,871.6457,2020-10-20
2000034,4820963,2,459.57446,630.6457,0.14163615,0.61769676,-2.1112075,871.6457,2020-10-20
2000035,4820968,2,459.57446,630.6457,0.14554335,0.61769676,-2.1112075,871.6457,2020-10-20
2000036,4820971,2,459.57446,630.6457,0.14993896,0.6258464,-2.1345024,871.6457,2020-10-20
2000037,4820976,2,460.57355,630.6457,0.15482296,0.6258464,-2.1345024,871.6457,2020-10-20
2000038,4820979,2,461.57263,631.64526,0.15995117,0.6258464,-2.1345024,872.64526,2020-10-20
2000039,4820984,2,462.5717,631.64526,0.16507937,0.6258464,-2.1345024,872.64526,2020-10-20
2000040,4820988,2,464.56985,631.64526,0.17020757,0.6404195,-2.1217175,872.64526,2020-10-20
2000041,4820992,2,466.568,631.64526,0.17533578,0.6404195,-2.1217175,872.64526,2020-10-20
2000042,4820996,2,468.56613,631.64526,0.18021978,0.6404195,-2.1217175,872.64526,2020-10-20
2000043,4821001,2,470.5643,631.64526,0.18485959,0.6404195,-2.1217175,872.64526,2020-10-20
2000044,4821005,2,472.56244,631.64526,0.18949941,0.6404195,-2.1217175,872.64526,2020-10-20
2000045,4821009,2,475.55966,631.64526,0.19389501,0.6404195,-2.1217175,872.64526,2020-10-20
2000046,4821013,2,477.55783,631.64526,0.19804642,0.6404195,-2.1217175,872.64526,2020-10-20
2000047,4821018,2,480.55505,630.6457,0.20195362,0.6404195,-2.1217175,871.6457,2020-10-20
2000048,4821021,2,483.55228,630.6457,0.20586082,0.6404195,-2.1217175,871.6457,2020-10-20
2000049,4821026,2,486.5495,630.6457,0.20952383,0.6404195,-2.1217175,871.6457,2020-10-20
2000050,4821029,2,488.54764,629.6461,0.21318683,0.6258464,-2.1345024,870.6461,2020-10-20
2000051,4821034,2,491.54486,629.6461,0.21684983,0.6258464,-2.1345024,870.6461,2020-10-20
2000052,4821038,2,493.54303,628.6465,0.22026864,0.6258464,-2.1345024,869.6465,2020-10-20
2000053,4821042,2,495.54117,628.6465,0.22368744,0.6258464,-2.1345024,869.6465,2020-10-20
2000054,4821046,2,497.5393,627.6469,0.22710624,0.6114037,-2.14797,868.6469,2020-10-20
2000055,4821051,2,499.53748,626.64734,0.23052505,0.6114037,-2.14797,867.64734,2020-10-20
2000056,4821055,2,500.53653,626.64734,0.23394385,0.6114037,-2.14797,867.64734,2020-10-20
2000057,4821059,2,502.5347,625.6477,0.23736265,0.5971008,-2.162164,866.6477,2020-10-20
2000058,4821063,2,503.53375,624.64813,0.24078146,0.5971008,-2.162164,865.64813,2020-10-20
2000059,4821068,2,504.53284,624.64813,0.24420026,0.5971008,-2.162164,865.64813,2020-10-20
2000060,4821071,2,505.53192,623.6485,0.24761906,0.5971008,-2.162164,864.6485,2020-10-20
2000061,4821076,2,506.531,622.6489,0.25103787,0.5829483,-2.1771317,863.6489,2020-10-20
2000062,4821079,2,506.531,622.6489,0.25445667,0.5829483,-2.1771317,863.6489,2020-10-20
2000063,4821084,2,507.53006,621.64935,0.25811967,0.5829483,-2.1771317,862.64935,2020-10-20
2000064,4821088,2,507.53006,621.64935,0.26178268,0.5829483,-2.1771317,862.64935,2020-10-20
2000065,4821092,2,508.52914,620.6497,0.26544568,0.56895727,-2.1929238,861.6497,2020-10-20
2000066,4821096,2,508.52914,620.6497,0.26910868,0.56895727,-2.1929238,861.6497,2020-10-20
2000067,4821101,2,508.52914,620.6497,0.2727717,0.56895727,-2.1929238,861.6497,2020-10-20
2000068,4821105,2,508.52914,620.6497,0.2764347,0.56895727,-2.1929238,861.6497,2020-10-20
2000069,4821109,2,508.52914,619.65015,0.2800977,0.56895727,-2.1929238,860.65015,2020-10-20
2000070,4821113,2,509.52823,619.65015,0.2835165,0.5597318,-2.1684299,860.65015,2020-10-20
2000071,4821117,2,509.52823,619.65015,0.2869353,0.5597318,-2.1684299,860.65015,2020-10-20
2000072,4821121,2,509.52823,619.65015,0.2903541,0.5597318,-2.1684299,860.65015,2020-10-20
2000073,4821126,2,509.52823,619.65015,0.2935287,0.5456233,-2.1848173,860.65015,2020-10-20
2000074,4821129,2,509.52823,619.65015,0.2964591,0.5456233,-2.1848173,860.65015,2020-10-20
2000075,4821134,2,509.52823,619.65015,0.2993895,0.5456233,-2.1848173,860.65015,2020-10-20
2000076,4821138,2,509.52823,619.65015,0.3020757,0.5456233,-2.1848173,860.65015,2020-10-20
2000077,4821142,2,509.52823,619.65015,0.30451772,0.5456233,-2.1848173,860.65015,2020-10-20
2000078,4821146,2,509.52823,619.65015,0.30695972,0.5456233,-2.1848173,860.65015,2020-10-20
2000079,4821151,2,508.52914,619.65015,0.30915752,0.5456233,-2.1848173,860.65015,2020-10-20
2000080,4821155,2,508.52914,619.65015,0.31135532,0.5456233,-2.1848173,860.65015,2020-10-20
2000081,4821159,2,508.52914,619.65015,0.31330892,0.5456233,-2.1848173,860.65015,2020-10-20
2000082,4821163,2,508.52914,619.65015,0.31501833,0.5456233,-2.1848173,860.65015,2020-10-20
2000083,4821168,2,508.52914,619.65015,0.31623933,0.5456233,-2.1848173,860.65015,2020-10-20
2000084,4821171,2,508.52914,619.65015,0.31648353,0.5456233,-2.1848173,860.65015,2020-10-20
2000085,4821176,2,508.52914,620.6497,0.31477413,0.5456233,-2.1848173,861.6497,2020-10-20
2000086,4821179,2,508.52914,620.6497,0.31086692,0.5456233,-2.1848173,861.6497,2020-10-20
2000087,4821188,1,508.52914,620.6497,0.30378512,0.5456233,-2.1848173,861.6497,2020-10-20
2000088,4822467,0,505.53192,701.6168,0.15775336,0.0,0.0,942.6168,2020-10-20
2000089,4822467,2,505.53192,701.6168,0.15775336,0.0,0.0,942.6168,2020-10-20
2000090,4822471,2,505.53192,701.6168,0.15897436,0.0,0.0,942.6168,2020-10-20
2000091,4822475,2,504.53284,702.61646,0.16166057,0.017452434,-3.1415927,943.61646,2020-10-20
2000092,4822479,2,504.53284,702.61646,0.16630037,0.039023757,-2.677884,943.61646,2020-10-20
2000093,4822483,2,504.53284,702.61646,0.16678877,0.07403139,-2.3561945,943.61646,2020-10-20
2000094,4822487,2,503.53375,702.61646,0.16776557,0.09868978,-2.3561945,943.61646,2020-10-20
2000095,4822492,2,503.53375,702.61646,0.16971917,0.1233346,-2.3561945,943.61646,2020-10-20
2000096,4822496,2,502.5347,702.61646,0.17216118,0.14796041,-2.3561945,943.61646,2020-10-20
2000097,4822500,2,502.5347,702.61646,0.17533578,0.17256348,-2.3561945,943.61646,2020-10-20
2000098,4822504,2,502.5347,702.61646,0.17899878,0.20978256,-2.2978678,943.61646,2020-10-20
2000099,4822508,2,501.5356,702.61646,0.18290599,0.23427399,-2.304092,943.61646,2020-10-20
2000100,4822512,2,501.5356,701.6168,0.18705739,0.25873652,-2.3091433,942.6168,2020-10-20
2000101,4822517,2,501.5356,700.61725,0.19120881,0.25873652,-2.3091433,941.61725,2020-10-20
2000102,4822521,2,501.5356,699.6177,0.19536021,0.28316382,-2.3133268,940.6177,2020-10-20
2000103,4822525,2,500.53653,698.61804,0.19951162,0.30755123,-2.3168504,939.61804,2020-10-20
